main_topic,sub_topic,C,utterance,question,option1,option2,option3,option4,answer,answer_index,length_no_space
가족,가족과 함께 보낸 즐거운 설날 이야기,170,"작년 설에는 오랜만에 온 가족이 외할머니 댁에 모였다. 모두 함께 만두를 빚으며 서로 다른 모양을 보며 웃음이 끊이질 않았다. 저녁에는 삼촌이 준비한 윷놀이 대회가 열려서, 조카들이 예상외로 윷을 잘 던져 1등을 차지했다. 어머니께서 직접 끓이신 떡국은 정말 맛있었고, 그 따뜻한 맛과 가족의 웃음소리가 아직도 마음에 남아 있다.",윷놀이 대회에서 1등을 차지한 사람은 누구였나요?,잘 모르겠음,삼촌,조카들,어머니,조카들,3,138
가족,가족과 함께 보낸 즐거운 설날 이야기,170,"설날을 맞아 오랜만에 친척들이 모두 외할머니 댁에 모였다. 작은 이모가 직접 빚은 만두를 먹으며, 사촌들과 윷놀이를 했다. 윷이 자주 넘어가지 않아 다들 웃음이 끊이지 않았다. 밤에는 외삼촌이 준비한 퀴즈 대회에서 내가 1등을 해 작은 상자에 담긴 떡을 선물로 받았다. 가족들과 함께 보내는 설날은 언제나 특별한 추억을 남긴다.",내가 외삼촌이 준비한 퀴즈 대회에서 받은 선물은 무엇이었나?,잘 모르겠음,책,작은 상자에 담긴 떡,윷놀이 세트,작은 상자에 담긴 떡,3,137
가족,가족과 함께 보낸 즐거운 설날 이야기,170,"설날이 되면 온 가족이 외할머니 댁에 모여서 음식을 준비하곤 한다. 올해는 처음으로 동생과 함께 만두 빚기에 도전했는데, 처음엔 서로 모양이 달라서 웃음이 끊이질 않았다. 결국 외할머니가 오셔서 만두를 빚는 손 모양을 직접 보여주시고, 우리도 점점 모양을 맞춰가며 완성할 수 있었다. 만두가 다 빚어지고 나니 모두 수고했다고 칭찬해주셔서 뿌듯했다. 마지막엔 직접 만든 만두를 넣은 떡국을 온 가족이 둘러앉아 먹으며 서로 올해의 소원을 이야기했다.",올해 설날에 가족들이 외할머니 댁에서 함께 한 활동으로 옳은 것은 무엇인가요?,잘 모르겠음,동생과 같이 만두를 빚었다.,외할머니와 장을 보러 갔다.,부모님과 윷놀이를 했다.,동생과 같이 만두를 빚었다.,2,188
가족,가족과 함께 보낸 즐거운 설날 이야기,170,"며칠 전, 가족들과 설날을 맞아 할머니 댁에 모였다. 모두가 부엌에서 송편을 빚으며 서로의 손재주를 자랑했는데, 특히 막내 사촌이 처음으로 예쁘게 송편을 완성해 큰 박수를 받았다. 점심에는 아버지가 직접 만든 갈비찜과 어머니의 잡채, 고모가 준비한 전을 함께 먹으며 웃음이 끊이지 않았다. 식사 후에는 다 함께 윷놀이를 했고, 내가 마지막에 윷을 던져 모가 나와서 우리 팀이 이기자 모두가 박수를 쳤다. 올해 설날은 가족들 덕분에 오랜만에 정말 따뜻하고 행복한 시간이 됐다.",설날 가족 모임에서 마지막 윷을 던져 팀을 승리로 이끈 사람은 누구인가요?,잘 모르겠음,막내 사촌,아버지,발화자,발화자,4,198
가족,가족과 함께한 여행의 추억,170,"작년 늦가을, 부모님과 남동생과 함께 제주도로 여행을 갔던 기억이 떠오른다. 한라산 등반을 하면서 힘들어하던 남동생을 위해 아버지가 농담을 하며 분위기를 띄워주셨다. 산 정상에 도착했을 때, 어머니가 준비해 온 귤과 김밥을 나눠 먹으며 바람을 맞던 그 순간이 아직도 생생하다. 가족 모두 힘들게 올랐지만 서로를 챙기며 웃고 대화했던 그 시간이 나에겐 참 소중한 추억이다.",발화에서 한라산 정상에 도착한 후 가족들이 먹은 음식으로 언급되지 않은 것은 무엇입니까?,잘 모르겠음,귤,김밥,샌드위치,샌드위치,4,156
가족,가족과 함께한 여행의 추억,170,"몇 년 전 여름방학에 가족들과 강릉으로 여행을 갔던 기억이 아직도 생생하다. 기차를 타고 도착하자마자 바다 냄새가 가득했고, 숙소에 짐을 풀고 나서 모두 함께 경포대 해수욕장에 갔다. 엄마가 준비해 온 김밥과 수박을 모래사장에서 나눠 먹으며 파도 소리를 들었고, 동생은 바다에 발을 담그며 신나게 뛰어다녔다. 저녁에는 회를 먹으러 갔는데, 평소 생선을 별로 안 좋아하던 내가 그날따라 회를 꽤 맛있게 먹어서 가족들이 모두 놀라기도 했다.",강릉 여행에서 가족이 바닷가에서 먹은 음식으로 언급된 것은 무엇인가요?,잘 모르겠음,떡볶이와 오렌지,김밥과 수박,햄버거와 치킨,김밥과 수박,3,183
가족,가족과 함께한 여행의 추억,170,"며칠 전 가족들과 제주도에 다녀온 일이 아직도 생생하다. 엄마가 추천한 오설록 티 뮤지엄에서 녹차 아이스크림을 먹었는데, 아버지는 생각보다 덜 달아서 마음에 들어 하셨다. 동생은 근처 감귤밭에서 직접 감귤을 따보며 엄청 신나 했고, 나는 바닷가에서 조개껍데기를 주우며 가족사진을 찍었던 순간이 가장 기억에 남는다. 저녁에는 숙소 근처에서 해물라면을 먹으며 모두가 그날의 추억을 이야기했다.",발화자가 제주도 여행에서 가장 기억에 남았던 순간은 무엇이었나요?,잘 모르겠음,오설록 티 뮤지엄에서 녹차 아이스크림을 먹은 순간,감귤밭에서 감귤을 딴 순간,바닷가에서 조개껍데기를 주우며 가족사진을 찍은 순간,바닷가에서 조개껍데기를 주우며 가족사진을 찍은 순간,4,167
가족,가족과 함께한 여행의 추억,170,"작년 봄, 부모님과 여동생, 그리고 나까지 네 가족이 모두 함께 경주로 여행을 갔다. 첨성대 근처에서 자전거를 빌려 네 식구가 천천히 벚꽃길을 달렸던 순간이 지금도 선명하다. 여동생이 잠시 자전거에서 내려 벚꽃잎을 모아 우리에게 나눠줬는데, 엄마가 그걸 머리에 얹어주며 다 같이 웃었던 장면이 가장 기억에 남는다. 사진도 찍고, 근처 찻집에서 한옥의 분위기를 느끼며 따뜻한 유자차도 마셨다.",여동생이 벚꽃길에서 가족에게 한 행동은 무엇이었나요?,잘 모르겠음,자전거를 고쳐줌,벚꽃잎을 모아 나눠줌,찻집을 먼저 찾아감,벚꽃잎을 모아 나눠줌,3,165
가족,아버지와의 뜻 깊은 대화,170,"주말 저녁, 아버지와 함께 산책을 하다가 어릴 적 꿈에 대해 자연스럽게 이야기하게 되었다. 나는 예전에는 요리사가 되고 싶었는데, 어느 순간부터 그 꿈을 잊고 있었다고 털어놓았다. 아버지는 자신의 어린 시절 꿈은 사진작가였지만, 집안 형편 때문에 포기해야 했던 경험을 조심스럽게 말씀해 주셨다. 덕분에 서로의 마음을 조금 더 이해할 수 있었고, 각자의 꿈을 존중해주기로 약속하며 따뜻한 시간을 보냈다.",산책 도중 아버지는 자신의 어떤 꿈을 이야기했나요?,잘 모르겠음,운동선수,사진작가,작곡가,사진작가,3,170
가족,아버지와의 뜻 깊은 대화,170,"며칠 전 저녁, 아버지와 오랜만에 둘이 산책을 하며 많은 이야기를 나눴다. 평소 무뚝뚝한 아버지였지만, 이날은 학창 시절 힘들었던 순간과 그때 어떻게 이겨냈는지 솔직하게 들려주셨다. 나도 최근 고민하고 있던 진로에 대해 털어놓자 아버지는 내 선택을 존중하겠다며 조심스럽게 응원해주셨다. 그날 아버지의 조용한 위로와 진심 어린 조언이 마음 깊이 남아, 앞으로 힘든 일이 닥쳐도 용기를 낼 수 있을 것 같다.",산책 중 아버지가 해주신 이야기는 주로 어떤 내용이었는가?,잘 모르겠음,가족여행 추억에 관한 이야기,학창 시절 힘들었던 순간과 극복 방법,요리 비법에 관한 이야기,가족여행 추억에 관한 이야기,2,170
