main_topic,sub_topic
가족,가족과 함께 보낸 즐거운 설날 이야기
가족,가족과 함께한 여행의 추억
가족,아버지와의 뜻 깊은 대화
가족,어머니의 사랑에 대한 감사의 마음
가족,외할머니집에서의 어린시절 추억
20대 청춘의 여행,대학 친구와의 뒤늦은 졸업 여행
20대 청춘의 여행,여행에서 얻은 깨달음
20대 청춘의 여행,야간버스 여행으로 본 도시의 야경
20대 청춘의 여행,여행 중 만난 이국의 사람들과의 인연
20대 청춘의 여행,첫 해외여행 혼자서 가보기
가상의 여행,낙타 등으로 사하라 사막을 건넜다면
가상의 여행,세계 7대 불가사의를 방문한 이야기
가상의 여행,시간 여행을 통해 고대로 떠났다면
가상의 여행,심해를 탐험하는 가상 이야기
가상의 여행,우주 여행을 가상으로 체험했다면
가족,가족과 함께한 행복한 주말
가족,아버지와 보낸 시간
가족,어머니와 보낸 시간
가족,할아버지께 들은 옛날 이야기
가족,가장 행복했던 가족 모임
가족,가족 간의 따뜻한 소통 방법
가족,가족과 함께한 연휴 여행 이야기
가족,형제와의 재미있는 경쟁 이야기
가족,가족 간의 의미 있는 이벤트
가족,가족 모임에서의 특별한 이야기
가족,가족과 함께 보낸 크리스마스 이야기
가족,가족과 함께 보낸 특별한 날
가족,가족과의 일상 속 소소한 이야기
가족,가족이 주는 위안에 대한 이야기
가족,어릴 적 가족과 다녀왔던 여행지
가족,평범한 주말 가족들과 보낸 하루
가족,할머니와의 추억
가족,가족과 함께한 새해 봉사활동
가족,가족과의 특별한 추억
가족,가족에게 배운 중요한 가치
가족,가족에게 전하고 싶은 메시지
가족,가족여행 이야기
가족,동생과의 첫 캠핑
가족,아버지와 함께한 낚시 여행
가족,어머니의 손맛 있는 요리와 함께한 저녁 식사
가족,평소 가족과 함께 하는 활동
가족,할머니 집에서 보내는 여름 휴가
학창 시절 추억,고등학교 3년 동안의 수능 준비 과정
학창 시절 추억,기말고사로 인한 스트레스
학창 시절 추억,반에서 진행한 축제 준비 과정과 성과
학창 시절 추억,방과 후 동아리 활동
학창 시절 추억,운동부로서 경험한 대회 준비 및 참가 이야기
학창 시절 추억,졸업식에서의 눈물
학창 시절 추억,첫 연애 이야기
학창 시절 추억,첫 연애의 설렘과 이별 감정
학창 시절 추억,학교 축제에서의 경험
학창 시절 추억,학창시절 친구들과의 여름방학 MT 회고
학창 시절 추억,경시 대회에서 상을 받은 이야기
학창 시절 추억,고등학교 첫 날의 느낌
학창 시절 추억,운동회에서의 흥미로운 사건
학창 시절 추억,졸업식에서의 눈물 이야기
학창 시절 추억,학교 축제에서의 즐거운 순간
고민과 해결,스트레스를 해소하는 방법 공유
고민과 해결,인간관계에서의 이해와 타협
고민과 해결,자신의 감정을 이해하는 과정
고민과 해결,자존감을 회복한 경험담
고민과 해결,직장에서 겪었던 가장 큰 고민
관계 이야기,가장 소중하게 여기는 사람과의 추억
관계 이야기,갑자기 연락이 끊어진 사람에 대한 이야기
관계 이야기,내가 가르쳐 준 것을 잘 실천하는 사람에 대한 이야기
관계 이야기,새로운 사람과 친해지는 과정 이야기
관계 이야기,오랫동안의 친구와 정리가 안 되는 일
기억에 남는 음식,가장 잘 만들 수 있는 요리 이야기
기억에 남는 음식,맛없어서 다시는 먹고 싶지 않은 음식
기억에 남는 음식,살면서 먹어본 가장 맛있었던 음식
기억에 남는 음식,어릴 적 자주 먹었던 음식에 대한 추억
기억에 남는 음식,요리 실패담
대학생활,가장 잊혀지지 않는 프로젝트 경험
대학생활,교환학생으로 떠난 뉴욕
대학생활,대학 동아리 활동에서의 경험
대학생활,대학 생활 중 가장 행복했던 순간
대학생활,대학교 첫 날의 감동
대학생활,대학생활 속의 우정과 사랑
대학생활,동아리 활동을 통해 배운 것들
대학생활,졸업 작품 준비 과정
대학생활,졸업을 앞둔 대학 마지막 학기 회고록
대학생활,"처음으로 혼자서 살아보기, 자취방에서의 삶"
대학생활,학과 MT에서의 유쾌한 순간
대학생활,학교에서 가장 힘들었던 시기와 그 극복 이야기
대학생활,학교에서의 가장 큰 성취
대학생활,학부모로서의 삶
대학생활,훈련받은 전공에 대한 고민
대학생활,MT에서의 웃픈 에피소드
대학생활,같은 동아리 친구와의 우정 이야기
대학생활,새내기 시절의 당황스러웠던 순간
대학생활,하루 종일 도서관에서 공부한 날
대학생활,학교 축제에서의 기억에 남는 경험
대학생활,동아리 활동 중 가장 재밌었던 순간
대학생활,신입생으로써 첫 학기를 진행하면서 느낀 점
대학생활,졸업논문 작성 과정에서 겪었던 어려움
대학생활,첫 야간 도서관에서의 공부 경험
대학생활,최애 과목과 그 이유
여행 경험,대학생활과 학과 공부에 대한 이야기
여행 경험,여행에서 겪은 위기와 그 해결 방법
여행 경험,여행을 결정하게 된 배경과 준비 과정
여행 경험,여행이 끝나고 느낀 감정과 변화
여행 경험,친구와 함께한 재미있는 에피소드
취미생활,독특한 취미를 가지게 된 계기
취미생활,취미를 통해 배운 것과 느낀 점
취미생활,취미생활 중 만난 특별한 사람들
취미생활,취미생활을 통해 극복한 어려움
취미생활,취미생활을 통해 얻은 성취감에 대한 이야기
펫과의 일상,강아지와 함께하는 산책
펫과의 일상,고양이와의 저녁 시간
펫과의 일상,사육 중인 열대어 관찰 일기
