stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
1,1,Patrick,Simon,"A few days ago, I went to a small local workshop with my mom to try making pottery. I don't usually do activities like this, but making my own cup using the blue glaze my mom personally picked out was so much fun that I lost track of time. Afterward, we shared a freshly baked pie at a nearby café, and it was really nice to listen to her talk about the hobbies she loved when she was young.",What was the color of the glaze used on the ceramic cup that the speaker made with their mother in the workshop?,Not sure,Green,Blue,Yellow,3,Blue,0
2,201,Carol,Lucille,"One time, I had booked a place to stay in a small village near the beach. Suddenly, a heavy rain shower poured down in the evening, and the grandmother who owned the guest house called me inside from the yard and shared homemade chicken soup with me. I still can't forget the taste of the hot soup I shared with a stranger while taking shelter from the rain. That night, as we listened to the sound of the rain, we chatted about our travels, and she taught me about some of the local lingo, idioms, and culture.  ","What did the grandmother, the owner of the guest house, share with the narrator who had come in to avoid the rain?",Not sure,Gumbo,Chicken soup,Chili,3,Chicken soup,0
3,401,Claire,KilliantheVampire,"A while ago, I went on a trip to the beach with my friends. It started raining even before we left, and as soon as we arrived, it turned into a heavy downpour. We had originally planned to have a barbecue party on the beach, but in the end, we just stayed in the car eating sandwiches to avoid the rain. We didn’t have any rain gear, so our clothes got completely soaked, and it wasn’t until we got back to the hotel that we could finally dry off. Still, I just remember all of us joking around and taking pictures.",What did the speaker say they ate with their friends while traveling?,Not sure,Sandwiches,Barbecue,Hotdogs,2,Sandwiches,0
4,2,Rex,Carlos,"A few nights ago, I was sitting at the dinner table when my father quietly came over and said I looked like I had a lot on my mind lately. He usually only talked about work, but that night he seriously asked me about my future and dreams. My father also reminisced about the times we went hiking together, and he shared how he overcame tough times in his life. In that moment, I felt a lot lighter and closer to my father—it was a really special night.",What memory did the speaker's father bring up during the conversation?,Not sure,Memories of playing at the beach,The times they went hiking together,The day they went to the zoo,3,The times they went hiking together,0
5,202,Jenna,Sophia,"One late afternoon, while walking alone through the alleys of an unfamiliar city, my phone battery completely died, and I couldn’t figure out where my hotel was. I panicked a little but went into a nearby small café and explained my situation. The café staff kindly lent me a charger. Thanks to that, I was able to check the location of my hotel again, and the staff even drew me a map and gave me written directions, so I safely made it back to the hotel.",What was the main reason the speaker was able to find the location of their accommodation again in an unfamiliar city?,Not sure,Asked for help at the nearby police station.,The café staff provided a charger.,Asked a local for directions.,3,The café staff provided a charger,0
6,402,Jimmy,AnnabelletheGhost,"When my friend suddenly suggested going on a trip a little while back, I was a bit hesitant, but I finally ended up going. Spending time by the beach at sunset, listening to the sound of the waves, and having deep conversations with my friend brought a big change in my thoughts and attitude. Since that day, I’ve made up my mind to cherish every moment more and have started taking on various challenges without hesitation, more than before.",Where was the place where the speaker had a special conversation that became a turning point in their life?,Not sure,Library,Cafe,Seaside,4,Seaside,0
7,3,Peter,KilliantheVampire,"One weekend evening, while taking a walk with my father, we naturally just started talking about our childhood dreams. I revealed that I used to want to be a chef, but at some point, I had forgotten that dream. My father shared that his childhood dream was to become a photographer, but he had to give it up due to our family's financial situation. Thanks to that conversation, we were able to understand each other a little better, and I was grateful for the opportunity to speak so openly with him.","During the walk, what did the speaker's father say his childhood dream was?",Not sure,Athlete,Photographer,Composer,3,Photographer,0
8,204,Annie,Kristen,"When I first started dating Jacob, who was in the same class as me in 8th grade, I remember feeling my heart race every time we crossed paths on the way to school. The shy text messages we exchanged and the brief secret greetings on the school playground felt very meaningful. But one day, Jacob suddenly stopped contacting me, and I felt we were drifting apart. In the end, we awkwardly stopped even greeting each other and naturally grew distant. The loneliness I felt then still lingers in a corner of my heart.",Where did the speaker say they briefly exchanged secret greetings with Jacob?,Not sure,In a school classroom,At the school playground,In the school hallway,3,At the school playground,0
9,403,Mia,Duke,"The most memorable moment during my time in the sports club was when I was preparing for my first national competition in middle school. Every day after class, I would rush to the gym and focus on practice with my sweat-drenched teammates. Especially during the last week, our coach prepared special training that boosted both our stamina and teamwork. On the day of the competition, my hands trembled with nervousness, but I still vividly remember how everyone was really giving it their all and cheering each other on until the very end.",What aspects did the speaker focus on training during the final week of preparation for the competition?,Not sure,Solely on building basic physical strength.,Kept practicing the technique.,Improved both physical strength and teamwork at the same time.,4,Improved both physical strength and teamwork at the same time.,0
10,4,Jimmy,Tyson," A few days ago, when I traveled alone to Florida, I remember sitting on a bench by the beach at sunset and striking up a conversation with a stranger. Although we had never met before, we shared the reasons for our trips and a bit about our life stories. In that moment, I realized that travel isn’t just about the scenery or good restaurants, but also about unexpected encounters and taking time to reflect on who I am.",How did the speaker come to realize the meaning of travel through a certain experience in Florida?,Not sure,Visiting a popular restaurant,While hiking,While talking to a stranger,4,While talking to a stranger,0
11,205,Claire,Zoey,"A few months ago, my boss suddenly assigned me an important presentation. With only two days to prepare, I stayed up late working on the materials and practiced with my colleague. I was really nervous on the day of the presentation, but having my colleagues smiling and cheering for me from the front row gave me a lot of confidence. After finishing the presentation successfully and receiving compliments from my boss, I felt like all the hard work was instantly rewarded.",Who helped the speaker practice their presentation?,Not sure,The boss,Colleague,Family,3,Colleague,0
12,404,Tim,Harper,"A few days ago, I had a serious conversation with a friend I hadn't seen in a while at a café. Usually, we talk about light topics, but this time, we honestly shared the worries we had been carrying. My friend said they had a strong fear of failure, but also mentioned that those experiences could actually serve as stepping stones for growth. Hearing that, I realized that the anxiety I thought only I had could be something everyone experiences. Thanks to our honesty, we both felt much lighter, and it gave us the confidence to support each other even during tough times.",What did the speaker realize during the conversation with their friend?,Not sure,Anxiety is something anyone can experience.,The difficulty was studying at the café.,My friend was jealous of me.,2,Anxiety is something anyone can experience.,0
13,5,Viktor,Walter,"A few years ago, I still vividly remember my first time traveling abroad alone. My language skills weren’t perfect, and I often got lost because I didn’t know my way around, but through those experiences, I learned to solve problems on my own and tried hard to communicate with locals, which gradually built my confidence. When I returned, I had become a much braver and more proactive person than before.",In what ways did the speaker feel they grew while traveling abroad?,Not sure,They made perfect travel plans.,They solved problems on their own and gained confidence.,They ate a lot of famous food at the travel destination.,3,They solved problems on their own and gained confidence.,0
14,206,Mia,Lucille,"I still remember the day I went out to a steakhouse with my friends. We waited a long time because the steaks we ordered didn’t come out, and when we finally got our orders, they were very underdone compared to how we had requested them. When I asked the staff to cook it again, they took it with a displeased look, and the meat that came back was burnt and dried out. My friends clearly looked disappointed too, and in the end, we left after barely eating half.",What was the staff's reaction when the speaker asked them to re-cook the meat?,Not sure,Gladly helped,Made an unpleasant expression,Completely ignored the request,3,Made an unpleasant expression,0
15,405,Samantha,Kevin,"I had never learned how to swim, but on a friend’s recommendation, I went to the neighborhood pool for the first time. As soon as I got into the water, I was startled because it was deeper than I expected, but I held onto a life tube and slowly moved my feet to get used to it. At first, breathing was difficult, but the instructor told me to breathe slowly through my nose, which helped me feel more comfortable. The feeling of my body floating was fascinating, and I had a great time laughing and splashing around with my friend.",What did the speaker use when they first entered the swimming pool?,Not sure,A life buoy,Swimming goggles,Flipper,2,A life buoy,0
